"","Age_Categories","Sex_of_driver","Educational_level","Vehicle_driver_relation","Driving_experience","Lanes_or_Medians","Types_of_Junction","Road_surface_type","Light_conditions","Weather_conditions","Type_of_collision","Vehicle_movement","Pedestrian_movement","Cause_of_accident","Accident_severity"
"1111","31-50","Unknown","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Turnover","Not a Pedestrian","Overtaking",2
"1112","31-50","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"1113","18-30","Female","Junior high school","Employee","2-5yr","Double carriageway (median)","No junction","Other","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"1114","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Gravel roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No priority to pedestrian",2
"1115","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1116","Over 51","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Moving Backward",2
"1117","31-50","Male","Junior high school","Employee","Above 10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"1118","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"1119","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the right",2
"1120","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"1121","Over 51","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Overloading",2
"1122","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",1
"1123","18-30","Unknown","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Earth roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",2
"1124","Over 51","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1125","18-30","Unknown","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"1126","31-50","Male","Junior high school","Employee","Above 10yr","One way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"1127","18-30","Male","Elementary school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No priority to pedestrian",2
"1128","31-50","Male","Elementary school","Employee","5-10yr","One way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"1129","31-50","Male","Elementary school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"1130","Over 51","Male","Elementary school","Employee","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No distancing",2
"1131","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight"," or other","No distancing",1
"1132","Over 51","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","Moving Backward",2
"1133","Over 51","Male","Elementary school","Employee","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1134","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Other","Not a Pedestrian","No priority to pedestrian",2
"1135","31-50","Male","Junior high school","Employee","Above 10yr","One way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"1136","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle","Getting off the vehicle improperly",2
"1137","18-30","Male","Elementary school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Overtaking",2
"1138","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Overloading",2
"1139","18-30","Male","Elementary school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1140","31-50","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Improper parking",2
"1141","18-30","Unknown","Elementary school","Employee","Above 10yr","other","Crossing","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1142","18-30","Male","Elementary school","Employee","2-5yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the left",1
"1143","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1144","31-50","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1145","31-50","Male","Junior high school","Employee","2-5yr","other","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)","Overspeed",2
"1146","31-50","Male","Elementary school","Employee","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Parked"," or other","Changing lane to the left",2
"1147","31-50","Male","Elementary school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"1148","18-30","Male","Elementary school","Employee","1-2yr","other","Crossing","Other","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"1149","31-50","Male","Elementary school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No distancing",2
"1150","18-30","Male","Junior high school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"1151","18-30","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","Crossing","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","No distancing",1
"1152","31-50","Male","Elementary school","Owner","1-2yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Stopping","Not a Pedestrian","No priority to vehicle",1
"1153","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"1154","31-50","Male","Junior high school","Employee","2-5yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Overtaking"," or other","Driving carelessly",2
"1155","18-30","Male","Junior high school","Employee","2-5yr","other","Crossing","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"1156","Under 18","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Earth roads","Daylight","Raining","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Driving carelessly",2
"1157","18-30","Male","Junior high school","Owner","Below 1yr","other","No junction","Asphalt roads","Darkness - no lighting","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",1
"1158","18-30","Male","High school","Employee","Below 1yr","Undivided Two way","No junction","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",1
"1159","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No distancing",2
